,Episode,Epsilon,Reward,Mean_Reward,Time
0,0.0,1.0,-295.7941029151219,-295.7941029151219,100.0
1,1.0,0.995,-346.35626479141445,-321.0751838532682,107.0
2,2.0,0.990025,-282.74511639548405,-308.2984947006735,116.0
3,3.0,0.985074875,-359.72634804288344,-321.155458036226,118.0
4,4.0,0.9801495006250001,-88.22088956566836,-274.5685443421145,68.0
5,5.0,0.9752487531218751,-266.88700732639984,-273.2882881728287,110.0
6,6.0,0.9703725093562657,-168.68393199700432,-258.34480871913945,129.0
7,7.0,0.9655206468094844,-125.07594023927285,-241.68620015915616,72.0
8,8.0,0.960693043575437,-373.03685652334735,-256.2807175329552,101.0
9,9.0,0.9558895783575597,-153.98039543382882,-246.0506853230426,107.0
10,10.0,0.9511101304657719,-212.24782792048282,-242.97769828644624,82.0
11,11.0,0.946354579813443,-126.34369804555094,-233.25819826637164,115.0
12,12.0,0.9416228069143757,-119.04236339488185,-224.47236481471856,84.0
13,13.0,0.9369146928798039,-152.82881412832094,-219.35496833711872,85.0
14,14.0,0.9322301194154049,-71.79787965334349,-209.5178290915337,82.0
15,15.0,0.9275689688183278,-198.18578680651865,-208.80957644872026,73.0
16,16.0,0.9229311239742362,-184.0605533201591,-207.3537515588049,120.0
17,17.0,0.918316468354365,-258.4632710008382,-210.19316930558455,109.0
18,18.0,0.9137248860125932,-193.86106521915087,-209.33358487998277,110.0
19,19.0,0.9091562615825302,-107.13036465285909,-204.22342386862658,64.0
20,20.0,0.9046104802746175,-216.82499627464483,-204.82349874510362,110.0
21,21.0,0.9000874278732445,-147.84880708959423,-202.23374003348957,120.0
22,22.0,0.8955869907338783,-96.46468087579748,-197.63508528750296,136.0
23,23.0,0.8911090557802088,-100.84228311922486,-193.6020518638247,70.0
24,24.0,0.8866535105013078,-120.14630001025124,-190.66382178968175,78.0
25,25.0,0.8822202429488013,-162.9363623360976,-189.59738104146697,95.0
26,26.0,0.8778091417340573,-142.34794100541995,-187.84740178087264,87.0
