Episode,Epsilon,Reward,Mean_Reward,Time
0.0,1.0,-196.74136933169473,-196.74136933169473,77.0
1.0,0.995,-131.70960014450787,-164.2254847381013,146.0
2.0,0.990025,-132.16942465222863,-153.54013137614376,118.0
3.0,0.985074875,-141.45636456108804,-150.5191896723798,85.0
4.0,0.9801495006250001,-121.74973563100774,-144.7652988641054,77.0
5.0,0.9752487531218751,-342.62159268546816,-177.74134783433252,97.0
6.0,0.9703725093562657,-247.18456561066412,-187.66180751666562,88.0
7.0,0.9655206468094844,-91.58821878955816,-175.65260892577717,63.0
8.0,0.960693043575437,-96.77690793355788,-166.8886421488639,122.0
9.0,0.9558895783575597,-85.58667247146427,-158.75844518112393,76.0
10.0,0.9511101304657719,-158.6205769883428,-158.74591170905293,109.0
11.0,0.946354579813443,-360.77320150008495,-175.58151919163893,86.0
12.0,0.9416228069143757,-106.6840007053466,-170.28171007730876,95.0
13.0,0.9369146928798039,-151.01916186994447,-168.90581377678274,79.0
14.0,0.9322301194154049,-51.20851988894319,-161.05932751759343,62.0
15.0,0.9275689688183278,-110.06505342064675,-157.87218538653428,86.0
16.0,0.9229311239742362,-149.6896433632042,-157.39085938516192,72.0
17.0,0.918316468354365,-142.34634980232957,-156.5550532972268,69.0
18.0,0.9137248860125932,-70.61473736956691,-152.03187877471836,123.0
19.0,0.9091562615825302,-182.6672260559489,-153.56364613877992,113.0
20.0,0.9046104802746175,-284.4801671037596,-159.7977661847313,144.0
21.0,0.9000874278732445,-101.58434279066981,-157.15170148500124,85.0
22.0,0.8955869907338783,-120.35938954167926,-155.55203574833507,74.0
23.0,0.8911090557802088,-90.504875981811,-152.8417374247299,87.0
24.0,0.8866535105013078,-85.68277318906316,-150.1553788553032,77.0
25.0,0.8822202429488013,-11.02111534970085,-144.80406102816465,74.0
26.0,0.8778091417340573,-105.41285093123484,-143.34512732087097,80.0
27.0,0.8734200960253871,-123.28817345929647,-142.62880754010047,113.0
28.0,0.8690529955452602,-207.9265439712318,-144.88045362393257,141.0
29.0,0.8647077305675338,-114.95066854509095,-143.8827941213045,131.0
30.0,0.8603841919146962,-335.2642108292475,-150.0563882086575,98.0
31.0,0.8560822709551227,-156.23272250114798,-150.24939865529785,65.0
32.0,0.851801859600347,-314.0574384966493,-155.21327865049034,132.0
33.0,0.8475428503023453,-195.85767956832825,-156.40870220689732,93.0
34.0,0.8433051360508336,-121.61514545590724,-155.41460058544047,90.0
35.0,0.8390886103705794,-72.78913587764947,-153.11944878800185,77.0
36.0,0.8348931673187264,-97.21035855701767,-151.60839229527255,87.0
37.0,0.8307187014821328,-162.12437496113836,-151.88512868121637,108.0
38.0,0.8265651079747222,-142.6152299360565,-151.64743896980204,146.0
39.0,0.8224322824348486,-75.0605716426595,-149.7327672866234,153.0
40.0,0.8183201210226743,-189.7725253875396,-150.70934675249944,142.0
41.0,0.8142285204175609,-95.1993701788489,-149.38768064360298,64.0
42.0,0.810157377815473,-145.88719518504735,-149.30627400503192,154.0
43.0,0.8061065909263957,-36.356558904802036,-146.73923502548124,83.0
44.0,0.8020760579717637,-108.91342549968827,-145.8986614804636,87.0
45.0,0.798065677681905,-60.803473301538936,-144.0487660852696,61.0
46.0,0.7940753492934954,-65.01850465587884,-142.36727116124,80.0
47.0,0.7901049725470279,-135.05064081060755,-142.21484136226852,97.0
48.0,0.7861544476842928,-173.2977920000638,-142.84918729365208,132.0
49.0,0.7822236754458713,-264.53985507960175,-145.28300064937108,90.0
50.0,0.778312557068642,-81.03032894649414,-144.02314434147155,96.0
51.0,0.7744209942832988,-82.30565864185775,-142.83626961647897,71.0
52.0,0.7705488893118823,-121.64491562647584,-142.43643274874307,73.0
53.0,0.7666961448653229,-94.74311729139013,-141.55322320323654,106.0
54.0,0.7628626641409962,-118.97279110963918,-141.14266989244385,105.0
55.0,0.7590483508202912,-88.88073114688224,-140.2094209862731,80.0
56.0,0.7552531090661897,-104.33185416416151,-139.57998998939397,178.0
57.0,0.7514768435208588,-117.86739876153689,-139.205634968224,121.0
58.0,0.7477194593032545,-82.96750545803083,-138.25244633245802,105.0
59.0,0.7439808620067382,-83.39537178265194,-137.33816175662793,88.0
60.0,0.7402609576967045,-134.22383120063913,-137.28710715734942,126.0
61.0,0.736559652908221,-70.76858888868537,-136.21422783043548,90.0
62.0,0.7328768546436799,-105.56002914933445,-135.72765324819576,74.0
63.0,0.7292124703704616,-184.50246952516449,-136.4897597525234,109.0
64.0,0.7255664080186093,-71.66196978792397,-135.4924091376834,83.0
65.0,0.7219385759785162,-128.06248430013818,-135.37983451893274,142.0
66.0,0.7183288830986236,-101.82182086463777,-134.87896864349548,100.0
67.0,0.7147372386831305,-87.11926490447387,-134.1766200590981,162.0
68.0,0.7111635524897149,-106.28279234463258,-133.7723616864247,152.0
69.0,0.7076077347272662,-36.11520254124833,-132.37725941292217,97.0
70.0,0.7040696960536299,-69.25780317440129,-131.48825298702752,88.0
71.0,0.7005493475733617,-122.09131242032247,-131.35773992360106,179.0
72.0,0.697046600835495,-47.49350064530058,-130.2089147280079,170.0
73.0,0.6935613678313175,-66.68098377566528,-129.35042917459785,110.0
74.0,0.6900935609921609,-84.49160842605696,-128.7523115646173,203.0
75.0,0.6866430931872001,-76.93603494931602,-128.07051845125807,112.0
76.0,0.6832098777212641,-78.07108033451382,-127.42117509909255,188.0
77.0,0.6797938283326578,-179.5435203602096,-128.08941029474792,133.0
78.0,0.6763948591909945,-162.80695246171658,-128.52887285382346,180.0
79.0,0.6730128848950395,-61.91650557353891,-127.69621826281994,202.0
80.0,0.6696478204705644,-68.24953595027662,-126.9623086046404,161.0
81.0,0.6662995813682115,-32.587532093506056,-125.81139669596803,104.0
82.0,0.6629680834613705,-139.68438322905715,-125.97854111202935,191.0
83.0,0.6596532430440636,-62.44108847302742,-125.22214286632695,94.0
84.0,0.6563549768288433,-99.31948103928234,-124.91740566836171,144.0
85.0,0.653073201944699,-80.0159945973837,-124.39529623730382,155.0
86.0,0.6498078359349755,-41.12643176849815,-123.43818285260491,102.0
87.0,0.6465587967553006,-33.64978475016572,-122.41786014689536,117.0
88.0,0.6433260027715241,-44.6602362023291,-121.54417897897889,80.0
89.0,0.6401093727576664,84.24694271901843,-119.25761096011225,500.0
90.0,0.6369088258938781,-22.14948390359531,-118.19048868476591,236.0
91.0,0.6337242817644086,-55.68130571109879,-117.5110410437478,103.0
92.0,0.6305556603555866,-96.43866805326496,-117.28445638793615,161.0
93.0,0.6274028820538087,-67.45482699266509,-116.75435394756092,97.0
94.0,0.6242658676435396,-46.73314093713036,-116.01728854745113,80.0
95.0,0.6211445383053219,-90.67946324497285,-115.75335286721698,121.0
96.0,0.6180388156137953,-47.69994481780418,-115.05177134093438,233.0
97.0,0.6149486215357263,-62.97011699832743,-114.5203258884588,68.0
98.0,0.6118738784280476,-77.40697076718219,-114.14544351349642,136.0
99.0,0.6088145090359074,-76.08994660892361,-113.76488854445068,86.0
100.0,0.6057704364907278,-91.1509430094465,-112.70898428122817,115.0
101.0,0.6027415843082742,-69.63234832485796,-112.08821176303168,143.0
102.0,0.5997278763867329,118.9913791690202,-109.5766037248192,500.0
103.0,0.5967292370047992,-22.013968809817413,-108.3821797673065,166.0
104.0,0.5937455908197752,-62.45104798446941,-107.78919289084111,144.0
105.0,0.5907768628656763,-73.54318662568961,-105.09840883024333,106.0
106.0,0.5878229785513479,-58.50705988810541,-103.21163377301775,149.0
107.0,0.5848838636585911,-35.869974584836754,-102.65445133097053,78.0
108.0,0.5819594443402982,-59.005690250786415,-102.2767391541428,81.0
109.0,0.5790496471185967,-2.975191536209664,-101.45062434479027,254.0
110.0,0.5761543988830038,-50.579715742337235,-100.37021573233022,102.0
111.0,0.5732736268885887,12.878550722705043,-96.6336982101023,208.0
112.0,0.5704072587541458,-56.97629537508416,-96.13662115679968,183.0
113.0,0.567555222460375,-14.298765293410682,-94.76941719103432,149.0
114.0,0.5647174463480732,-28.131782263580988,-94.5386498147807,139.0
115.0,0.5618938591163328,-34.13273318505752,-93.77932661242481,235.0
116.0,0.5590843898207511,-42.8153416376517,-92.7105835951693,302.0
117.0,0.5562889678716474,-74.93754930472704,-92.03649559019327,111.0
118.0,0.5535075230322891,-65.88815155278996,-91.9892297320255,135.0
119.0,0.5507399854171277,-27.38076580142436,-90.43636512948028,121.0
120.0,0.547986285490042,-47.73183332030884,-88.06888179164577,119.0
121.0,0.5452463540625918,-49.378680239355845,-87.54682516613262,116.0
122.0,0.5425201222922789,-44.19235733547763,-86.78515484407062,193.0
123.0,0.5398075216808175,-12.511449166015439,-86.00522057591266,187.0
124.0,0.5371084840724134,-62.598495373712694,-85.77437779775916,128.0
125.0,0.5344229416520513,-108.51579764175554,-86.74932462067972,293.0
126.0,0.531750826943791,-178.08644118728876,-87.47606052324024,263.0
127.0,0.5290920728090721,-66.30755405228686,-86.90625432917015,317.0
128.0,0.5264466124450268,-21.799286050808746,-85.04498174996591,106.0
129.0,0.5238143793828016,-64.5300100077965,-84.54077516459297,99.0
130.0,0.5211953074858876,3.604640586367424,-81.15208665043681,138.0
131.0,0.5185893309484582,-108.12303201280504,-80.67098974555338,156.0
132.0,0.5159963842937159,-65.84040139138718,-78.18881937450075,92.0
133.0,0.5134164023722473,-66.2501797131597,-76.89274437594908,149.0
134.0,0.510849320360386,-73.04499698704441,-76.40704289126045,247.0
135.0,0.5082950737585841,-161.2189319974309,-77.29134085245825,104.0
136.0,0.5057535983897912,-45.846755344855126,-76.77770482033664,202.0
137.0,0.5032248303978422,52.51201451626824,-74.63134092556257,500.0
138.0,0.500708706245853,-78.85968195001149,-73.99378544570213,252.0
139.0,0.4982051627146237,-7.011265054104982,-73.31329237981657,192.0
140.0,0.49571413690105054,-39.75748322529531,-71.81314195819412,136.0
141.0,0.4932355662165453,-42.72428347288931,-71.28839109113454,193.0
142.0,0.4907693883854626,20.300525311401827,-69.62651388617004,118.0
143.0,0.4883155414435353,-34.39833488239803,-69.60693164594599,153.0
144.0,0.4858739637363176,57.05888405147677,-67.94720855043437,500.0
145.0,0.483444593917636,-83.70848380148144,-68.17625865543378,266.0
146.0,0.4810273709480478,-15.349193811097521,-67.67956554698596,201.0
147.0,0.47862223409330756,-66.79107033838888,-66.99696984226378,167.0
148.0,0.47622912292284103,15.869809537873419,-65.1052938268844,500.0
149.0,0.4738479773082268,-102.23490878883798,-63.48224436397676,224.0
150.0,0.47147873742168567,-251.90291677709405,-65.19097024228276,194.0
151.0,0.46912134373457726,-12.356397390576648,-64.49147762976996,500.0
152.0,0.46677573701590436,-98.18779334785626,-64.25690640698376,158.0
153.0,0.46444185833082485,-32.89984730278094,-63.63847370709767,500.0
154.0,0.46211964903917074,-24.832571708018804,-62.69707151308146,140.0
155.0,0.4598090507939749,-51.448476394697344,-62.32274896555962,392.0
156.0,0.457510005540005,-39.93660901499313,-61.67879651406795,341.0
157.0,0.45522245551230495,18.33780913750488,-60.31674443507751,500.0
158.0,0.4529463432347434,-1.2903161662880218,-59.499972542160094,500.0
159.0,0.4506816115185697,6.548904679482376,-58.60052977753873,163.0
160.0,0.4484282034609769,-33.953934449215566,-57.5978308100245,327.0
161.0,0.446186062443672,-32.11979031196066,-57.211342824257265,468.0
162.0,0.4439551321314536,-15.615925558369042,-56.311901788347605,95.0
163.0,0.4417353564707963,-17.110877436359957,-54.63798586745956,221.0
164.0,0.43952667968844233,-60.29274096046511,-54.52429357918497,139.0
165.0,0.43732904629000013,-55.617906022485556,-53.79984779640845,279.0
166.0,0.4351424010585501,30.604631025981217,-52.47558327750227,500.0
167.0,0.43296668905325736,-192.39006021916924,-53.52829123064922,308.0
168.0,0.43080185560799106,-2.3885474964339295,-52.48934878216722,118.0
169.0,0.4286478463299511,-4.927476338268789,-52.17747152013743,332.0
170.0,0.42650460709830135,-57.58482850177785,-52.060741773411195,84.0
171.0,0.42437208406280985,-0.9897407901261204,-50.84972605710924,164.0
172.0,0.4222502236424958,-32.138676612851484,-50.69617781678475,93.0
173.0,0.42013897252428334,61.778159883285525,-49.41158638019524,500.0
174.0,0.4180382776616619,37.806638700849604,-48.18860390892618,500.0
175.0,0.4159480862733536,-41.12711411359644,-47.83051470056898,500.0
176.0,0.41386834584198684,-148.92063599590048,-48.539010257182845,197.0
177.0,0.4117990041127769,-28.648488602423896,-47.03005993960499,113.0
178.0,0.40974000909221303,-25.80245585287183,-45.66001497351654,116.0
179.0,0.40769130904675194,4.434614967806198,-44.99650376810308,131.0
180.0,0.40565285250151817,2.936843450820632,-44.28463997409211,137.0
181.0,0.4036245882390106,-235.92754268410957,-46.31804007999815,467.0
182.0,0.4016064652978155,-28.532942088267134,-45.206525668590245,112.0
183.0,0.3995984329713264,40.291146925576626,-44.1792033146042,500.0
184.0,0.3976004408064698,-46.52315369167137,-43.65124004112809,500.0
185.0,0.39561243860243744,19.994429831968958,-42.651135796834566,500.0
186.0,0.3936343764094253,-139.7074692685971,-43.636946171835554,442.0
187.0,0.39166620452737816,80.97586857021358,-42.490689638631764,500.0
188.0,0.3897078735047413,-37.31472767246291,-42.4172345533331,500.0
189.0,0.3877593341372176,-5.91928791195847,-43.31889685964286,500.0
190.0,0.3858205374665315,-96.29168204343271,-44.06031884104124,309.0
191.0,0.38389143477919885,-262.6379269746697,-46.129885053676944,320.0
192.0,0.3819719776053028,-145.83190290031914,-46.62381740214748,162.0
