,Episode,Epsilon,Reward,Mean_Reward,Time
0,0.0,1.0,-139.27284009862137,-139.27284009862137,83.0
1,1.0,0.995,-200.64249539135977,-169.95766774499057,143.0
2,2.0,0.990025,-311.5443631778245,-217.15323288926857,68.0
3,3.0,0.985074875,-151.97083084629799,-200.85763237852592,84.0
4,4.0,0.9801495006250001,-162.68941460293237,-193.2239888234072,69.0
5,5.0,0.9752487531218751,-391.43504196251547,-226.25916434659192,86.0
6,6.0,0.9703725093562657,-127.44346150158582,-212.1426353687339,87.0
7,7.0,0.9655206468094844,-231.38140784200584,-214.5474819278929,94.0
8,8.0,0.960693043575437,-386.2040310946272,-233.6204318353078,129.0
9,9.0,0.9558895783575597,-414.21578355818355,-251.67996700759537,115.0
10,10.0,0.9511101304657719,-76.68257583707945,-235.7711132648212,73.0
11,11.0,0.946354579813443,-199.02874111842561,-232.70924891928826,83.0
12,12.0,0.9416228069143757,-461.1020946408915,-250.2779293594116,101.0
13,13.0,0.9369146928798039,-211.9131127917704,-247.53758531886578,82.0
14,14.0,0.9322301194154049,-111.09176286803003,-238.44119715547674,90.0
15,15.0,0.9275689688183278,-110.80771005507088,-230.46410421170134,102.0
16,16.0,0.9229311239742362,13.562424758805264,-216.1096025075539,96.0
17,17.0,0.918316468354365,-122.4257099788768,-210.9049418115163,120.0
18,18.0,0.9137248860125932,-177.23397540610534,-209.13278568491572,121.0
19,19.0,0.9091562615825302,-123.1634740338204,-204.83432010236092,79.0
20,20.0,0.9046104802746175,-106.93539218789076,-200.17246639214807,76.0
21,21.0,0.9000874278732445,-99.89078516041224,-195.61420815434192,119.0
22,22.0,0.8955869907338783,-94.8419228158019,-191.2328044439706,104.0
23,23.0,0.8911090557802088,-224.10979423742816,-192.602679018698,86.0
24,24.0,0.8866535105013078,3.7134901425098974,-184.7500322522497,97.0
25,25.0,0.8822202429488013,-229.78016141034888,-186.48196029679198,85.0
26,26.0,0.8778091417340573,-130.28799863770283,-184.40070245756647,99.0
27,27.0,0.8734200960253871,-122.61339630242844,-182.19401295202582,108.0
28,28.0,0.8690529955452602,-101.03309050773294,-179.39536045394675,88.0
29,29.0,0.8647077305675338,-96.37128143495816,-176.62789115331378,87.0
30,30.0,0.8603841919146962,-106.61431569034681,-174.36938871902456,83.0
31,31.0,0.8560822709551227,-158.45172623090784,-173.87196176627086,123.0
32,32.0,0.851801859600347,-105.36279508490956,-171.7959264122902,78.0
33,33.0,0.8475428503023453,-45.56404138126658,-168.08322391137773,96.0
34,34.0,0.8433051360508336,-134.75216949238745,-167.13090807083515,90.0
35,35.0,0.8390886103705794,-114.17389969092942,-165.65988006028223,113.0
36,36.0,0.8348931673187264,-263.058680772935,-168.2922800795431,125.0
37,37.0,0.8307187014821328,-43.5835451609301,-165.0104712658954,93.0
38,38.0,0.8265651079747222,-422.1636209069119,-171.60414176951122,123.0
39,39.0,0.8224322824348486,-64.95424113284017,-168.93789425359446,85.0
40,40.0,0.8183201210226743,-94.34251553432959,-167.11849477263678,85.0
41,41.0,0.8142285204175609,-62.98331410649429,-164.6390857091572,79.0
42,42.0,0.810157377815473,-91.14108509906362,-162.92982988101548,129.0
43,43.0,0.8061065909263957,-237.3470431088267,-164.62113018164754,114.0
44,44.0,0.8020760579717637,-53.319296034344454,-162.14775608948523,78.0
45,45.0,0.798065677681905,-112.81064360062156,-161.0752101658143,116.0
46,46.0,0.7940753492934954,-245.76985570839284,-162.87722390076277,97.0
47,47.0,0.7901049725470279,-269.87577137056485,-165.10636030638366,94.0
48,48.0,0.7861544476842928,-260.6513373673258,-167.0562577974233,122.0
49,49.0,0.7822236754458713,-298.7697035915977,-169.69052671330678,153.0
50,50.0,0.778312557068642,-75.44570943136029,-167.84258911954313,131.0
51,51.0,0.7744209942832988,-256.52086149841057,-169.54794051144444,107.0
52,52.0,0.7705488893118823,-90.52150152800024,-168.05687562496436,101.0
53,53.0,0.7666961448653229,-134.52172860667326,-167.4358543838849,108.0
54,54.0,0.7628626641409962,-441.6245539609424,-172.42110346710413,121.0
55,55.0,0.7590483508202912,-170.26968237106706,-172.38268523324632,82.0
56,56.0,0.7552531090661897,-287.76899910475885,-174.40700652923778,87.0
57,57.0,0.7514768435208588,-73.0550710974043,-172.65955936661996,122.0
58,58.0,0.7477194593032545,-265.0863084673322,-174.22611443612357,103.0
59,59.0,0.7439808620067382,-346.2041914290823,-177.09241571933953,127.0
60,60.0,0.7402609576967045,-233.45290012939373,-178.01635808671747,96.0
61,61.0,0.736559652908221,-188.09727270489964,-178.17895348378494,140.0
62,62.0,0.7328768546436799,-123.53567266280936,-177.3115998199599,171.0
63,63.0,0.7292124703704616,-65.2002667601792,-175.55986024090083,135.0
64,64.0,0.7255664080186093,-227.7943264885261,-176.3634674139412,94.0
65,65.0,0.7219385759785162,-75.59219022006297,-174.83662988070063,128.0
66,66.0,0.7183288830986236,-29.404555024230845,-172.66600189776824,101.0
67,67.0,0.7147372386831305,-49.15951399910022,-170.84973001690548,107.0
