Episode,Epsilon,Reward,Mean_Reward,Time
0.0,1.0,-117.01417660525377,-117.01417660525377,76.0
1.0,0.995,-163.41696659880935,-140.21557160203156,63.0
2.0,0.990025,-112.28373316973281,-130.90495879126533,66.0
3.0,0.985074875,-181.9840015383695,-143.67471947804137,77.0
4.0,0.9801495006250001,-237.07004066278924,-162.35378371499093,82.0
5.0,0.9752487531218751,-115.38391599678269,-154.5254724286229,70.0
6.0,0.9703725093562657,-239.44498787520172,-166.65683177813415,102.0
7.0,0.9655206468094844,-62.974611364442346,-153.69655422642268,72.0
8.0,0.960693043575437,-181.77032508471984,-156.8158620995668,128.0
9.0,0.9558895783575597,-101.73649004847324,-151.30792489445747,76.0
10.0,0.9511101304657719,-125.22801503324241,-148.93702399798337,97.0
11.0,0.946354579813443,-186.7533027868318,-152.08838056372073,74.0
12.0,0.9416228069143757,-145.07484965100002,-151.54887818581912,63.0
13.0,0.9369146928798039,-98.36541691377927,-147.75005952353058,85.0
14.0,0.9322301194154049,-197.5641694218888,-151.07100018342115,145.0
15.0,0.9275689688183278,-167.80405175998357,-152.11681590695628,119.0
16.0,0.9229311239742362,-275.89351218980937,-159.39779804124174,90.0
17.0,0.918316468354365,-121.67369860677393,-157.30201473932686,111.0
18.0,0.9137248860125932,-115.31341122867721,-155.09208823876637,132.0
19.0,0.9091562615825302,-117.11591640146268,-153.19327964690117,82.0
20.0,0.9046104802746175,-118.16255451732071,-151.5251498788259,110.0
21.0,0.9000874278732445,-303.61884445495593,-158.43849963228638,175.0
22.0,0.8955869907338783,-136.56635634018517,-157.48753688045588,90.0
23.0,0.8911090557802088,-296.17911808163046,-163.26635276383817,109.0
24.0,0.8866535105013078,-144.31222235452225,-162.50818754746552,116.0
25.0,0.8822202429488013,-247.35437020828948,-165.77150226518955,131.0
26.0,0.8778091417340573,-284.9479064553669,-170.18544316112204,113.0
27.0,0.8734200960253871,-160.20258250514337,-169.82891242340853,129.0
28.0,0.8690529955452602,-106.4389197818352,-167.64305060818185,78.0
29.0,0.8647077305675338,-176.889561315806,-167.95126763176933,113.0
30.0,0.8603841919146962,-424.69755186206874,-176.2334058327467,124.0
31.0,0.8560822709551227,-354.7080933838429,-181.81073981871845,116.0
32.0,0.851801859600347,-153.9987802077573,-180.96795316384083,69.0
33.0,0.8475428503023453,-81.44196747088893,-178.04071829051873,73.0
34.0,0.8433051360508336,-265.61115686756375,-180.54273082129143,121.0
35.0,0.8390886103705794,-256.074825307951,-182.64084455703198,64.0
36.0,0.8348931673187264,-128.57727041493098,-181.17966687751573,71.0
37.0,0.8307187014821328,-135.87528901466698,-179.98744640744076,62.0
38.0,0.8265651079747222,-379.6459091125688,-185.10689416911072,107.0
39.0,0.8224322824348486,-201.0240823007078,-185.50482387240066,115.0
40.0,0.8183201210226743,-220.82988807028374,-186.36641080405636,112.0
41.0,0.8142285204175609,-32.089989405895565,-182.69316267552873,111.0
42.0,0.810157377815473,-139.44684944576957,-181.68743446088317,70.0
43.0,0.8061065909263957,-183.9289751943378,-181.73837856846168,121.0
44.0,0.8020760579717637,-99.15068184209862,-179.90309641898696,130.0
45.0,0.798065677681905,-206.12977945813347,-180.47324170244664,112.0
46.0,0.7940753492934954,-277.1970760701512,-182.53119562516378,103.0
47.0,0.7901049725470279,-250.90974232779996,-183.9557486814687,152.0
48.0,0.7861544476842928,-90.36605458224945,-182.04575492434176,111.0
49.0,0.7822236754458713,-88.0674381488237,-180.16618858883143,106.0
50.0,0.778312557068642,-138.94291893809594,-179.35788918391503,99.0
51.0,0.7744209942832988,-95.89138243434893,-177.7527640541157,100.0
52.0,0.7705488893118823,-201.62589006239665,-178.20320039389458,145.0
53.0,0.7666961448653229,-251.63852764507365,-179.56311386150898,144.0
54.0,0.7628626641409962,-171.65323831520658,-179.4192979424853,96.0
55.0,0.7590483508202912,-204.38420024892764,-179.86509976938603,83.0
56.0,0.7552531090661897,-140.02098458385376,-179.1660802047276,102.0
57.0,0.7514768435208588,-223.06901823395447,-179.92302741212805,73.0
58.0,0.7477194593032545,-183.21922251044862,-179.9788951256589,95.0
59.0,0.7439808620067382,-157.021551939755,-179.59627273922717,115.0
60.0,0.7402609576967045,-132.69409256248136,-178.8273845396084,94.0
61.0,0.736559652908221,-188.16115567693416,-178.97792923537173,82.0
62.0,0.7328768546436799,-184.87942665194254,-179.07160379753952,117.0
63.0,0.7292124703704616,-95.43440679832396,-177.76477259442677,118.0
64.0,0.7255664080186093,-159.8896988643695,-177.48977146011822,149.0
65.0,0.7219385759785162,-207.27197508842528,-177.94101696963799,104.0
66.0,0.7183288830986236,-62.56332467617506,-176.21896186078035,106.0
67.0,0.7147372386831305,-91.38000598941854,-174.97133015678972,99.0
68.0,0.7111635524897149,-148.10113096179023,-174.5819069800506,88.0
69.0,0.7076077347272662,-320.2656605762728,-176.66310345999665,135.0
70.0,0.7040696960536299,-113.23558261315387,-175.7697580959566,79.0
71.0,0.7005493475733617,-370.2082196913116,-178.47029228478095,151.0
72.0,0.697046600835495,-159.56306343158718,-178.2112891498057,83.0
73.0,0.6935613678313175,-479.06565935956684,-182.2768887472349,101.0
74.0,0.6900935609921609,-105.07964524154585,-181.24759216715904,83.0
75.0,0.6866430931872001,-213.05383812353358,-181.6660954034271,186.0
76.0,0.6832098777212641,-42.46458674384239,-179.8582836026533,135.0
77.0,0.6797938283326578,-90.38981478002601,-178.71125195108115,159.0
78.0,0.6763948591909945,-205.35671574237784,-179.04853630286973,177.0
79.0,0.6730128848950395,36.32899201541386,-176.3563171988912,125.0
80.0,0.6696478204705644,-117.88179999625319,-175.63440957910555,62.0
81.0,0.6662995813682115,-143.17016257167867,-175.23850412779547,219.0
82.0,0.6629680834613705,-120.13992790340595,-174.57466586003173,222.0
83.0,0.6596532430440636,-35.034538742706644,-172.91347387053978,128.0
84.0,0.6563549768288433,-165.6510222355775,-172.8280332630696,128.0
85.0,0.653073201944699,-36.25053841201119,-171.23992285782475,83.0
86.0,0.6498078359349755,-119.94352086627543,-170.65030904182993,105.0
87.0,0.6465587967553006,-179.33354946069932,-170.748982228408,106.0
88.0,0.6433260027715241,-172.6326953830507,-170.7701475447523,106.0
89.0,0.6401093727576664,-265.87280546085924,-171.82684374382018,184.0
90.0,0.6369088258938781,-224.2390833290432,-172.40280242058085,85.0
91.0,0.6337242817644086,-62.45009852234892,-171.2076643347305,116.0
92.0,0.6305556603555866,-193.29823056338714,-171.44519730493113,107.0
93.0,0.6274028820538087,-177.34103354781277,-171.50791896708944,127.0
94.0,0.6242658676435396,-90.97653759853154,-170.66022021584146,104.0
95.0,0.6211445383053219,-87.83984633222977,-169.79750798788714,279.0
96.0,0.6180388156137953,-150.9477590015449,-169.6031806787496,127.0
97.0,0.6149486215357263,-161.30100655784838,-169.51846461629142,111.0
98.0,0.6118738784280476,-214.59563040976542,-169.97378952329623,159.0
99.0,0.6088145090359074,-218.66837835821016,-170.46073541164537,140.0
100.0,0.6057704364907278,-216.0022394908876,-171.4506160405017,109.0
101.0,0.6027415843082742,-267.69999812103094,-172.49344635572393,175.0
102.0,0.5997278763867329,-255.97064315929148,-173.93031545561954,162.0
103.0,0.5967292370047992,-153.08210844554145,-173.64129652469126,154.0
104.0,0.5937455908197752,-196.49612964191996,-173.23555741448257,169.0
105.0,0.5907768628656763,-333.37830953777507,-175.4155013498925,141.0
106.0,0.5878229785513479,-195.31068143071948,-174.97415828544766,217.0
107.0,0.5848838636585911,-180.64140156648216,-176.15082618746806,163.0
108.0,0.5819594443402982,-354.47225097376963,-177.87784544635855,141.0
109.0,0.5790496471185967,-225.1732348699287,-179.1122128945731,137.0
110.0,0.5761543988830038,-153.53841678716896,-179.39531691211232,100.0
111.0,0.5732736268885887,88.67183733070311,-176.64106551093698,500.0
112.0,0.5704072587541458,-103.25878369696612,-176.22290485139663,138.0
113.0,0.567555222460375,-199.54522428701296,-177.23470292512894,265.0
114.0,0.5647174463480732,-278.84545887770344,-178.04751581968708,140.0
115.0,0.5618938591163328,-223.1221370640476,-178.60069667272776,145.0
116.0,0.5590843898207511,-44.85529441142036,-176.29031449494386,313.0
117.0,0.5562889678716474,-105.39175228644076,-176.12749503174052,102.0
118.0,0.5535075230322891,-284.3797443873775,-177.81815836332757,195.0
119.0,0.5507399854171277,-194.4202375525332,-178.59120157483824,174.0
120.0,0.547986285490042,-136.47343108077047,-178.77431034047274,120.0
121.0,0.5452463540625918,-176.03404389683465,-177.4984623348915,148.0
122.0,0.5425201222922789,-239.50656326573625,-178.52786440414704,140.0
123.0,0.5398075216808175,-68.49238060070357,-176.25099702933775,215.0
124.0,0.5371084840724134,-204.38182247971264,-176.8516930305897,190.0
125.0,0.5344229416520513,-68.97363516246276,-175.06788568013144,138.0
126.0,0.531750826943791,-193.80228486954297,-174.1564294642732,139.0
127.0,0.5290920728090721,-155.1579695862351,-174.10598333508412,153.0
128.0,0.5264466124450268,-170.5222963847243,-174.74681710111298,203.0
129.0,0.5238143793828016,-304.74493960603047,-176.02537088401522,112.0
130.0,0.5211953074858876,-284.34799959690827,-174.62187536136364,225.0
131.0,0.5185893309484582,-158.57086332617058,-172.6605030607869,155.0
132.0,0.5159963842937159,-217.76898131592318,-173.29820507186855,140.0
133.0,0.5134164023722473,-196.81394958873892,-174.45192489304708,119.0
134.0,0.510849320360386,-147.09748557800248,-173.26678818015148,160.0
135.0,0.5082950737585841,-156.44937781342134,-172.27053370520613,108.0
136.0,0.5057535983897912,-183.482768755934,-172.81958868861616,156.0
137.0,0.5032248303978422,-151.26577790722993,-172.9734935775418,117.0
138.0,0.500708706245853,-4.566536199010102,-169.22269984840622,113.0
139.0,0.4982051627146237,-58.890833541173336,-167.80136736081087,261.0
140.0,0.49571413690105054,-199.16082951133055,-167.58467677522134,187.0
141.0,0.4932355662165453,-313.9376324991846,-170.40315320615423,144.0
142.0,0.4907693883854626,-176.2076587723121,-170.7707612994197,316.0
143.0,0.4883155414435353,-27.471129348084176,-169.20618284095715,129.0
144.0,0.4858739637363176,-216.65877759954924,-170.38126379853165,281.0
145.0,0.483444593917636,-364.5689977399073,-171.9656559813494,225.0
146.0,0.4810273709480478,-310.49696446868495,-172.29865486533475,255.0
147.0,0.47862223409330756,-216.88085692782929,-171.95836601133502,165.0
148.0,0.47622912292284103,-268.9406816091457,-173.744112281604,250.0
149.0,0.4738479773082268,-202.14103099296386,-174.8848482100454,274.0
150.0,0.47147873742168567,-324.62888588515875,-176.74170787951599,101.0
151.0,0.46912134373457726,-145.95008477865383,-177.2422949029591,180.0
152.0,0.46677573701590436,-51.018515611519604,-175.73622115845023,146.0
153.0,0.46444185833082485,-213.21002280625027,-175.3519361100621,397.0
154.0,0.46211964903917074,-174.19137881606807,-175.37731751507064,253.0
155.0,0.4598090507939749,-210.20906925806923,-175.43556620516208,242.0
156.0,0.457510005540005,-146.7229663436696,-175.50258602276023,161.0
157.0,0.45522245551230495,-139.13867520217593,-174.66328259244244,207.0
158.0,0.4529463432347434,-127.65735551318308,-174.1076639224698,244.0
159.0,0.4506816115185697,-215.4233287618319,-174.69168169069061,208.0
160.0,0.4484282034609769,-88.17496929265599,-174.24649045799237,133.0
161.0,0.446186062443672,-212.81641149189153,-174.49304301614194,218.0
162.0,0.4439551321314536,-338.5047243376217,-176.0292959929987,488.0
163.0,0.4417353564707963,-440.89832911538554,-179.48393521616927,249.0
164.0,0.43952667968844233,-246.45958094229343,-180.34963403694854,357.0
165.0,0.43732904629000013,-166.11040900375457,-179.93801837610184,491.0
166.0,0.4351424010585501,-227.42871900212248,-181.58667231936133,201.0
167.0,0.43296668905325736,-240.7972713415801,-183.08084497288291,263.0
168.0,0.43080185560799106,-227.17170816654297,-183.8715507449305,250.0
169.0,0.4286478463299511,-191.46739416405373,-182.58356808080828,337.0
170.0,0.42650460709830135,-239.05703671149155,-183.84178262179165,188.0
171.0,0.42437208406280985,-194.14062514982604,-182.0811066763768,201.0
172.0,0.4222502236424958,-75.94359325845608,-181.24491197464548,188.0
173.0,0.42013897252428334,-233.61217991804273,-178.7903771802302,352.0
174.0,0.4180382776616619,-125.56391098949814,-178.99521983770973,106.0
175.0,0.4159480862733536,-198.54523835480205,-178.85013384002247,357.0
176.0,0.41386834584198684,-279.581469007117,-181.2213026626552,401.0
177.0,0.4117990041127769,-135.1122445036873,-181.66852695989178,240.0
178.0,0.40974000909221303,-134.88776577661451,-180.96383746023417,105.0
179.0,0.40769130904675194,-276.89225644930343,-184.09604994488134,461.0
180.0,0.40565285250151817,-133.85970579966204,-184.25582900291545,104.0
181.0,0.4036245882390106,-133.7796702835011,-184.16192408003363,351.0
182.0,0.4016064652978155,-160.18609667472577,-184.56238576774683,122.0
183.0,0.3995984329713264,-332.78554177330375,-187.53989579805278,443.0
184.0,0.3976004408064698,-222.2964490473584,-188.1063500661706,279.0
185.0,0.39561243860243744,-368.4412101714365,-191.42825678376485,458.0
186.0,0.3936343764094253,-114.05447961439323,-191.36936637124603,500.0
187.0,0.39166620452737816,-231.3833711346906,-191.88986458798593,469.0
188.0,0.3897078735047413,-324.90086395141844,-193.41254627366962,454.0
189.0,0.3877593341372176,-85.75341272800134,-191.61135234634105,186.0
190.0,0.3858205374665315,-97.93945142864393,-190.348356027337,144.0
191.0,0.38389143477919885,-323.8976347538067,-192.96283138965165,488.0
192.0,0.3819719776053028,-103.00900272921866,-192.05993911130994,165.0
193.0,0.3800621177172763,-44.07152455668554,-190.7272440213987,500.0
194.0,0.37816180712868996,-126.24652796601568,-191.07994392507354,104.0
195.0,0.37627099809304654,-69.2279165200699,-190.89382462695193,500.0
196.0,0.3743896431025813,-92.89919523223622,-190.31333898925888,227.0
197.0,0.37251769488706843,-63.550306115787166,-189.33583198483825,500.0
198.0,0.3706551064126331,-83.64455220311498,-188.02632120277173,120.0
199.0,0.36880183088056995,-36.87629905081313,-186.20840040969776,500.0
200.0,0.3669578217261671,-9.700871028466432,-184.1453867250736,500.0
201.0,0.36512303261753626,-144.43642644643904,-182.91275100832766,500.0
202.0,0.3632974174544486,-319.90938552779687,-183.55213843201273,404.0
203.0,0.3614809303671764,-140.77837176835976,-183.4291010652409,321.0
204.0,0.3596735257153405,-82.02231583529692,-182.2843629271746,317.0
205.0,0.3578751580867638,-104.99515229313398,-180.00053135472822,500.0
206.0,0.35608578229633,-273.34659524330584,-180.7808904928541,240.0
207.0,0.3543053533848483,-213.63439361551696,-181.11082041334444,299.0
208.0,0.35253382661792404,-58.02063088920824,-178.14630421249885,500.0
209.0,0.3507711574848344,-134.84028441141027,-177.24297470791367,483.0
210.0,0.34901730169741024,-127.38027679636001,-176.98139330800552,248.0
211.0,0.3472722151889232,-37.939924751330935,-178.2475109288259,500.0
212.0,0.3455358541129786,-119.53373481347111,-178.41026043999096,306.0
213.0,0.3438081748424137,-30.3032432340923,-176.71784062946176,500.0
214.0,0.3420891339682016,-103.91369533364733,-174.96852299402116,500.0
