Episode,Epsilon,Reward,Mean_Reward,Time
0.0,1.0,-333.6562744092579,-333.6562744092579,74.0
1.0,1.0,-133.85909389507768,-233.75768415216777,73.0
2.0,1.0,-141.40481383453056,-202.9733940462887,64.0
3.0,1.0,-206.60512429004459,-203.88132660722766,78.0
4.0,1.0,-278.66235297060956,-218.83753187990405,141.0
5.0,1.0,-271.05184459962163,-227.53991733319035,131.0
6.0,1.0,-256.8432954967227,-231.72611421369496,75.0
7.0,1.0,-454.7081948297762,-259.5988742907051,110.0
8.0,1.0,-344.3196127412945,-269.0122896741039,93.0
9.0,1.0,-136.8187022325247,-255.79293092994598,66.0
10.0,1.0,-221.9662553677928,-252.71777860611385,98.0
11.0,1.0,-175.79566269168805,-246.30760227991172,67.0
12.0,1.0,-326.6419583102586,-252.48716812839996,109.0
13.0,1.0,-123.11722060609968,-243.2464575910928,74.0
14.0,1.0,39.28237248918924,-224.41120225240732,79.0
15.0,1.0,-133.76454791514035,-218.74578635632815,93.0
16.0,1.0,-86.25090933931716,-210.95197006120986,72.0
17.0,1.0,-169.52413675727612,-208.65042376654688,86.0
18.0,1.0,-154.31722565181548,-205.7907817605084,80.0
19.0,1.0,-158.20905728201205,-203.41169553658358,96.0
20.0,1.0,-108.87094093464053,-198.90975484125298,58.0
21.0,1.0,-93.70937108073917,-194.12791921577508,72.0
22.0,1.0,-106.01469377058916,-190.29690941381048,72.0
23.0,1.0,-117.20801897134686,-187.25153897870777,75.0
24.0,1.0,-145.44054656308413,-185.57909928208284,94.0
25.0,1.0,-357.99685186108616,-192.21055130435218,82.0
26.0,1.0,-52.95554980993317,-187.05295865641074,95.0
27.0,1.0,-112.7829866512076,-184.4004596562249,97.0
28.0,1.0,-257.34028962805263,-186.91562620697758,105.0
29.0,1.0,-294.6260231855971,-190.50597277293156,78.0
30.0,1.0,-181.14348103546527,-190.20395691043262,91.0
31.0,1.0,15.335502570381834,-183.7808488016572,94.0
32.0,1.0,-146.38822759559554,-182.6477390681402,91.0
33.0,1.0,-240.4673912149989,-184.3483170724596,106.0
34.0,1.0,27.629681723532116,-178.29180282114552,71.0
35.0,1.0,-88.58044074896617,-175.79982054136275,74.0
36.0,1.0,-96.4179213637344,-173.65436380683227,70.0
37.0,1.0,-127.81117882499889,-172.44796420204716,68.0
38.0,1.0,-120.03719860439188,-171.1040984174919,71.0
39.0,1.0,-71.18387044272924,-168.60609271812285,85.0
40.0,1.0,-180.88122142862727,-168.90548610130588,65.0
41.0,1.0,-265.9344757389887,-171.21570014029834,81.0
42.0,1.0,-373.61604535829565,-175.9226849128099,102.0
43.0,1.0,-146.35678161839525,-175.25073256520955,103.0
44.0,1.0,-110.74098969994952,-173.81718272375932,90.0
45.0,1.0,-143.64166608769688,-173.161193231671,72.0
46.0,1.0,-119.94389608271004,-172.028910313608,139.0
47.0,1.0,-99.15596162353292,-170.5107238825648,80.0
48.0,1.0,-125.3387937419205,-169.5888477572455,91.0
49.0,1.0,-232.22430375066864,-170.841556877114,91.0
50.0,1.0,-106.99359179870665,-169.58963599322362,75.0
51.0,1.0,-139.2979185666565,-169.00710296578967,81.0
52.0,1.0,-146.62769006485388,-168.5848498921871,97.0
53.0,1.0,-404.9726471799579,-172.9624016938125,74.0
54.0,1.0,-279.47198504095036,-174.89893957285136,96.0
55.0,1.0,-246.04501069897245,-176.16940512867495,125.0
56.0,1.0,-110.39686842535639,-175.01550097598513,106.0
57.0,1.0,-296.32193986352405,-177.10699130163238,111.0
58.0,1.0,-85.40100422476209,-175.55265253761763,56.0
59.0,1.0,-172.44407462360203,-175.50084290571738,97.0
60.0,1.0,-67.53522649854577,-173.73091476789486,112.0
61.0,1.0,-160.71095239502762,-173.5209153747841,109.0
62.0,1.0,-118.50898861047233,-172.647710188049,113.0
63.0,1.0,-229.71486153769445,-173.5393844278872,87.0
64.0,1.0,-120.97379484575073,-172.7306830497005,93.0
65.0,1.0,-365.8329469154854,-175.65647492645482,95.0
66.0,1.0,-107.49880791619209,-174.63919631436133,82.0
67.0,1.0,-304.9017540684075,-176.55482216368554,109.0
68.0,1.0,-78.02648877630989,-175.12687530299894,91.0
69.0,1.0,16.06607102237264,-172.39554749835077,74.0
70.0,1.0,-291.73318743334005,-174.07635932842103,79.0
71.0,1.0,-143.42019138963207,-173.6505792181601,90.0
72.0,1.0,-86.39434794320525,-172.45528837877717,68.0
73.0,1.0,-100.26530661844362,-171.47974808471858,117.0
74.0,1.0,-190.6882083225754,-171.73586088789,87.0
75.0,1.0,-261.9509438138414,-172.92290145270516,141.0
76.0,1.0,-124.7974351529223,-172.29789539686382,65.0
77.0,1.0,-324.5512982404667,-174.24986209998696,86.0
78.0,1.0,-114.65665374614844,-173.49551769044467,90.0
79.0,1.0,-175.5320953429383,-173.52097491110084,60.0
80.0,1.0,-71.06388390079925,-172.25607255294898,66.0
81.0,1.0,-204.47283141200725,-172.64895985610823,111.0
82.0,1.0,-198.45326068120704,-172.95985504677205,92.0
83.0,1.0,-316.98516510805985,-174.6744420713112,93.0
84.0,1.0,-264.4308466731567,-175.73039977250937,77.0
85.0,1.0,24.863241501487963,-173.39791557164895,87.0
86.0,1.0,-83.38602022708926,-172.36329608492989,76.0
87.0,1.0,-2.2945809536119555,-170.43069704934672,82.0
88.0,1.0,-54.780785491074724,-169.1312598408268,70.0
89.0,1.0,-305.7627849496465,-170.64938789759145,120.0
90.0,1.0,-150.57669025833815,-170.4288088026546,116.0
91.0,1.0,-158.98554541308428,-170.3044255049419,95.0
92.0,1.0,-363.9727578690879,-172.38688069165315,95.0
93.0,1.0,-160.42534794396548,-172.25963034327347,68.0
94.0,1.0,-258.9448750145016,-173.1721066029706,100.0
95.0,1.0,-203.9586264731892,-173.4927995182854,84.0
96.0,1.0,-114.64846567477585,-172.886156901342,122.0
97.0,1.0,-260.4551698281002,-173.77971825773747,113.0
98.0,1.0,-131.38011514296645,-173.35143943839634,106.0
99.0,1.0,-63.7934035006778,-172.25585907901913,112.0
100.0,1.0,-264.7637582489798,-171.56693391741635,76.0
101.0,1.0,-87.53563967593031,-171.10369937522492,85.0
102.0,1.0,-121.19968530038521,-170.90164808988345,98.0
103.0,1.0,-130.58703865444835,-170.14146723352752,83.0
104.0,1.0,-395.3470887371357,-171.30831459119278,91.0
105.0,1.0,-132.1083185482683,-169.91887933067926,82.0
106.0,1.0,-192.8751452573557,-169.2791978282856,88.0
107.0,1.0,-1.8903119375822257,-164.75101899936362,80.0
108.0,1.0,-238.67299902754945,-163.6945528622262,122.0
109.0,1.0,-167.60992840458547,-164.00246512394682,83.0
110.0,1.0,-253.9414090480245,-164.32221666074915,105.0
111.0,1.0,-233.79671301663646,-164.9022271639986,117.0
112.0,1.0,-146.02213019069697,-163.09602888280298,114.0
113.0,1.0,-242.6870870846223,-164.2917275475882,92.0
114.0,1.0,-101.59732320800113,-165.7005245045601,110.0
115.0,1.0,-71.79583366041138,-165.0808373620128,58.0
116.0,1.0,-82.02320486415586,-165.03856031726122,79.0
117.0,1.0,-129.6217988378706,-164.63953693806718,96.0
118.0,1.0,-109.98489619249263,-164.19621364347393,59.0
119.0,1.0,-285.27537814780305,-165.46687685213186,91.0
120.0,1.0,-121.9231224005485,-165.59739866679095,110.0
121.0,1.0,-302.47994386032883,-167.6851043945868,81.0
122.0,1.0,-99.93036812382144,-167.62426113811915,95.0
123.0,1.0,-214.0844811918871,-168.59302576032454,85.0
124.0,1.0,-165.84676452472218,-168.7970879399409,80.0
125.0,1.0,-140.5099069099458,-166.6222184904295,112.0
126.0,1.0,-213.7456507441677,-168.23011949977186,120.0
127.0,1.0,-248.00494817224538,-169.58233911498223,110.0
128.0,1.0,-66.89331863081003,-167.6778694050098,63.0
129.0,1.0,-125.80174251001435,-165.989626598254,84.0
130.0,1.0,-247.54060708719186,-166.65359785877123,75.0
131.0,1.0,-149.8575345930282,-168.30552823040537,93.0
132.0,1.0,-178.74247582807158,-168.62907071273014,132.0
133.0,1.0,-80.82411032343487,-167.0326379038145,69.0
134.0,1.0,-232.9184301673026,-169.63811902272283,107.0
135.0,1.0,-323.07415897721063,-171.9830562050053,94.0
136.0,1.0,-213.20993382616223,-173.15097632962954,60.0
137.0,1.0,-204.55750697824445,-173.91843961116203,115.0
138.0,1.0,-61.18689928389804,-173.3299366179571,64.0
139.0,1.0,-203.29375071969028,-174.65103542072669,100.0
140.0,1.0,-112.83592729769043,-173.9705824794173,128.0
141.0,1.0,-74.38914990954808,-172.0551292211229,119.0
142.0,1.0,-321.75250749816814,-171.5364938425216,89.0
143.0,1.0,-94.84239044844207,-171.02134993082208,73.0
144.0,1.0,-132.7624253172593,-171.24156428699513,63.0
145.0,1.0,-354.4858892499635,-173.35000651861785,115.0
146.0,1.0,-169.44235188081456,-173.8449910765989,128.0
147.0,1.0,-113.25103318878675,-173.98594179225142,85.0
148.0,1.0,-55.993968647642994,-173.29249354130866,57.0
149.0,1.0,-123.41412596878442,-172.2043917634898,92.0
150.0,1.0,-153.81209880807677,-172.67257683358352,79.0
151.0,1.0,-107.34502402652909,-172.35304788818226,82.0
152.0,1.0,-152.55927771005616,-172.41236376463428,88.0
153.0,1.0,-91.88503727022481,-169.28148766553699,103.0
154.0,1.0,-92.5326245134916,-167.41209406026238,67.0
155.0,1.0,-498.1355628683026,-169.93299958195564,102.0
156.0,1.0,-45.93499451459783,-169.28838084284808,123.0
157.0,1.0,-193.2317597564848,-168.25747904177766,87.0
158.0,1.0,-163.33213071750407,-169.0367903067051,89.0
159.0,1.0,-99.90276394641859,-168.31137719993328,64.0
160.0,1.0,-367.61066669284145,-171.31213160187625,95.0
161.0,1.0,-171.81153663722364,-171.42313744429816,79.0
162.0,1.0,-390.58970291101565,-174.14394458730362,121.0
163.0,1.0,-106.58939194230724,-172.91268989134971,60.0
164.0,1.0,-133.54529880545107,-173.03840493094674,73.0
165.0,1.0,-20.989411712104925,-169.58996957891293,125.0
166.0,1.0,-147.99016592740136,-169.99488315902497,85.0
167.0,1.0,-380.2391708681615,-170.74825732702254,102.0
168.0,1.0,-82.58793850608554,-170.7938718243203,95.0
169.0,1.0,-111.8779509174077,-172.07331204371815,76.0
170.0,1.0,-191.27256437692733,-171.068705813154,118.0
171.0,1.0,-301.26974391172837,-172.64720133837503,103.0
172.0,1.0,-43.37447182424815,-172.2170025771854,112.0
173.0,1.0,-148.16129541476406,-172.6959624651486,111.0
174.0,1.0,-132.7108519015128,-172.116188900938,76.0
175.0,1.0,-10.142155364766936,-169.59810101644726,100.0
176.0,1.0,-90.66809032282976,-169.25680756814631,71.0
177.0,1.0,-109.57350484643075,-167.10702963420593,73.0
178.0,1.0,-196.35525990758183,-167.92401569582026,108.0
179.0,1.0,-90.40366499648914,-167.0727313923558,66.0
180.0,1.0,-105.0472369439291,-167.41256492278708,70.0
181.0,1.0,-125.993661536187,-166.62777322402886,64.0
182.0,1.0,-96.48314007316475,-165.60807201794844,67.0
183.0,1.0,-428.37524291165926,-166.72197279598444,85.0
184.0,1.0,-102.4294852848133,-165.101959182101,67.0
185.0,1.0,-259.3579852248039,-167.94417144936398,98.0
186.0,1.0,-207.0868910407612,-169.18118015750068,91.0
187.0,1.0,-279.4773760220979,-171.95300810818557,94.0
188.0,1.0,-165.17128895917523,-173.0569131428666,75.0
189.0,1.0,-236.75212800966614,-172.36680657346676,103.0
190.0,1.0,-313.10030338897883,-173.99204270477316,94.0
191.0,1.0,-163.832491671406,-174.04051216735635,66.0
192.0,1.0,-221.82146030969972,-172.61899919176244,81.0
193.0,1.0,-133.39305506018084,-172.3486762629246,124.0
194.0,1.0,-320.75274977232095,-172.9667550105028,96.0
195.0,1.0,-130.05117103644375,-172.22768045613535,93.0
196.0,1.0,-122.91443363017572,-172.31034013568933,82.0
197.0,1.0,-227.2608448523179,-171.97839688593155,91.0
198.0,1.0,-221.70995611154103,-172.88169529561725,98.0
199.0,1.0,-115.28848318241522,-173.39664609243465,74.0
200.0,1.0,-152.3466953746152,-172.272475463691,106.0
201.0,1.0,-168.75882458691368,-173.08470731280082,84.0
202.0,1.0,-70.52081447850571,-172.577918604582,62.0
203.0,1.0,-136.3279257731564,-172.6353274757691,95.0
204.0,1.0,-109.05227104776843,-169.77237929887542,75.0
205.0,1.0,-207.72501094438303,-170.52854622283658,76.0
206.0,1.0,-138.8150109983971,-169.98794488024703,61.0
207.0,1.0,11.219479886586683,-169.85684696200533,104.0
208.0,1.0,-180.28842204502735,-169.27300119218012,92.0
209.0,1.0,-293.0307571782263,-170.52720947991654,81.0
210.0,1.0,-177.9275299037759,-169.767070688474,104.0
211.0,1.0,-97.82616080494604,-168.40736516635715,75.0
212.0,1.0,-272.81796388232846,-169.67532350327343,89.0
213.0,1.0,-194.90180520156366,-169.1974706844429,105.0
214.0,1.0,-213.24222517395273,-170.31391970410237,90.0
215.0,1.0,-136.1144857780684,-170.95710622527892,67.0
216.0,1.0,-293.4750232719714,-173.07162440935707,104.0
217.0,1.0,-130.42365068039115,-173.07964292778226,90.0
218.0,1.0,-401.4186573124644,-175.99398053898196,118.0
