Episode,Epsilon,Reward,Mean_Reward,Time
0.0,1.0,-132.294436358253,-132.294436358253,83.0
1.0,0.995,-96.98548660415477,-114.63996148120388,110.0
2.0,0.990025,8.90437072387553,-73.45851741284407,155.0
3.0,0.985074875,-177.44188611679783,-99.45435958883252,136.0
4.0,0.9801495006250001,-331.88021850992186,-145.9395313730504,123.0
5.0,0.9752487531218751,-128.23340580341736,-142.9885104447782,71.0
6.0,0.9703725093562657,-118.44405051356449,-139.48215902603337,74.0
7.0,0.9655206468094844,-203.96137812347416,-147.5420614132135,87.0
8.0,0.960693043575437,-290.0979191895664,-163.38160116614162,119.0
9.0,0.9558895783575597,-309.55890571722506,-177.99933162124995,118.0
10.0,0.9511101304657719,-105.32527147624414,-171.39259888079488,103.0
11.0,0.946354579813443,-253.01275837738174,-178.19427883884381,92.0
12.0,0.9416228069143757,-91.19763349187204,-171.50222919676906,102.0
13.0,0.9369146928798039,-197.1465673614121,-173.3339676371007,98.0
14.0,0.9322301194154049,-138.3119718435151,-170.99916791752833,131.0
15.0,0.9275689688183278,-85.78123929043677,-165.67304737833507,74.0
16.0,0.9229311239742362,-131.65707211056315,-163.67210765670143,101.0
17.0,0.918316468354365,-129.14452022610328,-161.75390835500153,99.0
18.0,0.9137248860125932,-281.7330694362374,-168.06860104348763,93.0
19.0,0.9091562615825302,-91.64338904185134,-164.2473404434058,105.0
20.0,0.9046104802746175,-258.05595572459384,-168.71441736155762,150.0
21.0,0.9000874278732445,1.009981228939779,-160.99967197108046,134.0
22.0,0.8955869907338783,-78.30860615237145,-157.40440823983224,72.0
23.0,0.8911090557802088,-66.39903243581564,-153.61251758133156,136.0
24.0,0.8866535105013078,-87.81139291572813,-150.98047259470744,149.0
25.0,0.8822202429488013,-86.7609566819509,-148.51049121344755,79.0
26.0,0.8778091417340573,-80.05332802022025,-145.97504072480953,105.0
27.0,0.8734200960253871,-259.2205126912464,-150.01952186646798,114.0
28.0,0.8690529955452602,-148.3026146712349,-149.96031817008063,134.0
29.0,0.8647077305675338,-123.11922863805417,-149.06561518567972,119.0
30.0,0.8603841919146962,-118.13562445777946,-148.06787354929583,95.0
31.0,0.8560822709551227,-216.56044491065765,-150.20826640433842,84.0
32.0,0.851801859600347,-70.01752031586415,-147.77824379559678,104.0
33.0,0.8475428503023453,-431.6179727608558,-156.1264711181044,133.0
34.0,0.8433051360508336,-86.27549348421572,-154.1307288999933,77.0
35.0,0.8390886103705794,-229.89666885000432,-156.23533834304916,145.0
36.0,0.8348931673187264,-194.3259074559548,-157.2648131839385,88.0
37.0,0.8307187014821328,-123.39454506237226,-156.37349033863413,127.0
38.0,0.8265651079747222,-190.20986258850562,-157.24108962709235,76.0
39.0,0.8224322824348486,-42.93629829011962,-154.38346984366802,97.0
40.0,0.8183201210226743,-273.0854082875244,-157.278639074006,89.0
41.0,0.8142285204175609,-55.822874198996786,-154.86302562460102,71.0
42.0,0.810157377815473,-41.316019187510264,-152.2223975679245,69.0
43.0,0.8061065909263957,-7.601878437907004,-148.93556758769682,116.0
44.0,0.8020760579717637,-47.950242539041696,-146.69144925328226,93.0
45.0,0.798065677681905,-93.59551962190802,-145.5371899134698,72.0
46.0,0.7940753492934954,-348.64702231259844,-149.85867570919595,74.0
47.0,0.7901049725470279,-99.97347213515128,-148.81940063473667,120.0
48.0,0.7861544476842928,-131.0886847062635,-148.45754928925763,99.0
49.0,0.7822236754458713,-180.32813989391494,-149.09496110135078,127.0
50.0,0.778312557068642,-144.48284466072747,-149.0045274456523,97.0
51.0,0.7744209942832988,-176.7656873472631,-149.53839590529864,80.0
52.0,0.7705488893118823,-107.56385297324637,-148.7464233971467,155.0
53.0,0.7666961448653229,-4.380927786296212,-146.07298829324208,124.0
54.0,0.7628626641409962,-158.46151787043166,-146.2982342855546,116.0
55.0,0.7590483508202912,-115.34717979428775,-145.74553688392484,107.0
56.0,0.7552531090661897,-296.72433595285,-148.39428774478316,140.0
57.0,0.7514768435208588,-134.3275887455933,-148.15175845169367,112.0
58.0,0.7477194593032545,-382.8192554485987,-152.12917365503105,93.0
59.0,0.7439808620067382,-296.10111689653365,-154.52870604238944,154.0
60.0,0.7402609576967045,-146.0656748722697,-154.38996782648587,124.0
61.0,0.736559652908221,-151.42510373509134,-154.34214743791497,119.0
62.0,0.7328768546436799,-75.64602346881998,-153.0930026130087,125.0
63.0,0.7292124703704616,-2.238801933019758,-150.73590572738385,85.0
64.0,0.7255664080186093,-182.4897550326544,-151.22442648592647,226.0
65.0,0.7219385759785162,-135.89928232415207,-150.9922273319602,88.0
66.0,0.7183288830986236,-125.09191027717168,-150.60565543562006,130.0
67.0,0.7147372386831305,-207.2869401169189,-151.4392037397568,134.0
68.0,0.7111635524897149,-105.06964517875662,-150.76718115191625,116.0
69.0,0.7076077347272662,-37.708230180326225,-149.1520532808935,142.0
70.0,0.7040696960536299,-193.677411576044,-149.77917100336043,139.0
71.0,0.7005493475733617,-108.54093863031918,-149.20641777595708,150.0
72.0,0.697046600835495,-111.91357918414208,-148.69555697332947,173.0
73.0,0.6935613678313175,-218.28211567188976,-149.63591587466135,113.0
74.0,0.6900935609921609,-121.55021581942295,-149.26143987392484,143.0
75.0,0.6866430931872001,-85.95973299415591,-148.42852267813842,90.0
76.0,0.6832098777212641,-131.31464880174258,-148.20626457584757,120.0
77.0,0.6797938283326578,-125.22099918123381,-147.91158168617304,158.0
78.0,0.6763948591909945,-262.5348574569016,-149.36250922757466,149.0
79.0,0.6730128848950395,-101.23304094601123,-148.76089087405512,127.0
80.0,0.6696478204705644,8.796088792621276,-146.81574297693564,128.0
81.0,0.6662995813682115,-218.2704616953342,-147.6871419856966,116.0
82.0,0.6629680834613705,-223.1700816639534,-148.5965749938684,128.0
83.0,0.6596532430440636,-71.0335879727606,-147.67320610075996,119.0
84.0,0.6563549768288433,-76.10337155382459,-146.8312080472666,151.0
85.0,0.653073201944699,-72.95870562159057,-145.97222546092155,89.0
86.0,0.6498078359349755,87.3438403491667,-143.29043160103546,500.0
87.0,0.6465587967553006,-99.72702982518508,-142.7953929444917,167.0
88.0,0.6433260027715241,-102.26698946231559,-142.34001762446727,109.0
89.0,0.6401093727576664,-52.727232569880286,-141.34432001274962,184.0
90.0,0.6369088258938781,-170.96500988809657,-141.6698220992919,118.0
91.0,0.6337242817644086,13.801249358281638,-139.9799191486661,232.0
92.0,0.6305556603555866,-355.75192721270196,-142.30004826763425,157.0
93.0,0.6274028820538087,-170.2614334481355,-142.59750981210766,155.0
94.0,0.6242658676435396,-66.06179837940354,-141.79187074439497,130.0
95.0,0.6211445383053219,-76.28493234346777,-141.10950680271864,142.0
96.0,0.6180388156137953,-41.65970698751579,-140.08425113452068,207.0
97.0,0.6149486215357263,-20.895290366602538,-138.86803724913375,125.0
98.0,0.6118738784280476,-371.32814782996905,-141.2161191741927,181.0
99.0,0.6088145090359074,-34.67928576117893,-140.15075084006256,162.0
100.0,0.6057704364907278,-159.067456431929,-140.4184810407993,122.0
101.0,0.6027415843082742,-172.2345832456188,-141.17097200721398,176.0
102.0,0.5997278763867329,-36.34834970342034,-141.62349921148692,166.0
103.0,0.5967292370047992,-134.4757461187437,-141.19383781150637,145.0
104.0,0.5937455908197752,-179.47795771924908,-139.66981520359965,165.0
105.0,0.5907768628656763,-185.30600397537464,-140.24054118531924,220.0
106.0,0.5878229785513479,-64.84221789352533,-139.7045228591188,111.0
107.0,0.5848838636585911,-152.419573760601,-139.1891048154901,145.0
108.0,0.5819594443402982,-288.9327319173034,-139.17745294276745,117.0
109.0,0.5790496471185967,-408.27885872808463,-140.16465247287607,94.0
110.0,0.5761543988830038,-147.49312961264286,-140.58633105424005,187.0
111.0,0.5732736268885887,-90.74948798847637,-138.963698350351,180.0
112.0,0.5704072587541458,-253.40726353414675,-140.58579465077375,176.0
113.0,0.567555222460375,-90.5487579550859,-139.5198165567105,217.0
114.0,0.5647174463480732,-103.10588020918324,-139.16775564036718,149.0
115.0,0.5618938591163328,-134.47364212691627,-139.65467966873194,103.0
116.0,0.5590843898207511,-101.85630808541497,-139.35667202848046,164.0
117.0,0.5562889678716474,-133.9570241332434,-139.40479706755187,187.0
118.0,0.5535075230322891,-75.78094201877752,-137.34527579337725,174.0
119.0,0.5507399854171277,-128.64525432076908,-137.71529444616647,112.0
120.0,0.547986285490042,-108.85607589322119,-136.22329564785275,101.0
121.0,0.5452463540625918,-33.88072401569545,-136.57220270029907,128.0
