Episode,Epsilon,Reward,Mean_Reward,Time
0.0,1.0,-215.4149050055692,-215.4149050055692,77.0
1.0,0.995,-417.34313803987743,-316.3790215227233,136.0
2.0,0.990025,-239.8943457479242,-290.88412959779026,70.0
3.0,0.985074875,-204.10750007592011,-269.18997221732275,93.0
4.0,0.9801495006250001,-269.77636835637634,-269.30725144513343,91.0
5.0,0.9752487531218751,-120.07211287495079,-244.434728350103,67.0
6.0,0.9703725093562657,-318.0281830398054,-254.9480790200605,96.0
7.0,0.9655206468094844,-243.45124908476072,-253.510975278148,123.0
8.0,0.960693043575437,-132.05370155826196,-240.01572264260508,99.0
9.0,0.9558895783575597,-188.04172466660106,-234.8183228450047,99.0
10.0,0.9511101304657719,-27.008309959950708,-215.92650349181795,96.0
11.0,0.946354579813443,-246.90309633875648,-218.50788622906282,95.0
12.0,0.9416228069143757,-176.6121573742739,-215.2851378556175,127.0
13.0,0.9369146928798039,-99.55241163843705,-207.01851455439035,95.0
14.0,0.9322301194154049,-117.72501113544776,-201.06561432646086,91.0
15.0,0.9275689688183278,-218.8820057304002,-202.1791387892071,118.0
16.0,0.9229311239742362,-87.67133574971702,-195.44338566923707,56.0
17.0,0.918316468354365,-131.1568240017562,-191.8719100210437,97.0
18.0,0.9137248860125932,-93.83989107902613,-186.712330076727,93.0
19.0,0.9091562615825302,-350.21140380921497,-194.88728376335138,150.0
20.0,0.9046104802746175,-169.38435737453935,-193.6728586972175,78.0
21.0,0.9000874278732445,8.87854510984343,-184.46597670598746,82.0
22.0,0.8955869907338783,-80.4920936805909,-179.9453730961876,80.0
23.0,0.8911090557802088,-389.0509009464973,-188.65810342328382,121.0
24.0,0.8866535105013078,-101.67656300882524,-185.17884180670546,124.0
25.0,0.8822202429488013,-196.00897894648017,-185.59538554285064,89.0
26.0,0.8778091417340573,-275.02965632573455,-188.90776594221668,66.0
27.0,0.8734200960253871,-138.3417914842887,-187.10183828300498,130.0
28.0,0.8690529955452602,-201.8543371613593,-187.61054514087928,131.0
29.0,0.8647077305675338,-100.92483924232802,-184.72102161092755,101.0
30.0,0.8603841919146962,-96.7336721513453,-181.88272001545718,111.0
31.0,0.8560822709551227,-107.62481956209658,-179.56216062628968,105.0
32.0,0.851801859600347,-251.7280217072382,-181.74900490146996,108.0
33.0,0.8475428503023453,-54.009509580332455,-177.9919609214365,77.0
34.0,0.8433051360508336,-108.67573377303992,-176.01149728862515,93.0
35.0,0.8390886103705794,-96.32790896265132,-173.79806427957033,81.0
36.0,0.8348931673187264,-166.94459129211856,-173.61283527990946,106.0
37.0,0.8307187014821328,-242.4994941773148,-175.42564209299908,155.0
38.0,0.8265651079747222,-221.33390333256875,-176.6027769965778,103.0
39.0,0.8224322824348486,-94.4626950844023,-174.54927494877342,70.0
40.0,0.8183201210226743,-189.3921580288794,-174.9112964873126,75.0
41.0,0.8142285204175609,-144.12694648818126,-174.17833577304756,87.0
42.0,0.810157377815473,-312.4269835154163,-177.39342060426543,107.0
